"STATION","NAME","DATE","DAPR","MDPR","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN"
"USC00280907","BOONTON 1 SE, NJ US","2018-09-28",,,"1.16",,"0.0","0.0",,"70","57","58",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-29",,,"0.16",,"0.0","0.0",,"63","50","50",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-30",,,"0.00",,"0.0","0.0",,"72","48","48",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-01",,,"0.00",,"0.0","0.0",,"70","48","57",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-02",,,"0.00",,"0.0","0.0",,"75","57","63",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-03",,,"0.77",,"0.0","0.0",,"77","60","61",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-04",,,"0.00",,"0.0","0.0",,"73","53","53",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-05",,,"0.18",,"0.0","0.0",,"74","53","66",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-06",,,"0.00",,"0.0","0.0",,"68","56","61",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-07",,,"0.07",,"0.0","0.0",,"68","61","68",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-08",,,"0.00",,"0.0","0.0",,"80","64","64",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-09",,,"0.10",,"0.0","0.0",,"66","63","64",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-10",,,"0.03",,"0.0","0.0",,"76","63","65",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-11",,,"0.01",,"0.0","0.0",,"79","64","71",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-12",,,"1.10",,"0.0","0.0",,"73","58","60",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-13",,,"0.29",,"0.0","0.0",,"60","45","47",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-14",,,"0.11",,"0.0","0.0",,"56","42","44",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-15",,,"0.06",,"0.0","0.0",,"56","44","50",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-16",,,"0.09",,"0.0","0.0",,"66","46","46",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-17",,,"0.00",,"0.0","0.0",,"56","38","41",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-18",,,"0.00",,"0.0","0.0",,"61","40","41",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-19",,,"0.00",,"0.0","0.0",,"50","30","32",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-20",,,"0.02",,"0.0","0.0",,"59","31","51",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-21",,,"0.05",,"0.0","0.0",,"62","46","46",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-22",,,"0.00",,"0.0","0.0",,"46","30","30",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-23",,,"0.00",,"0.0","0.0",,"60","30","50",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-24",,,"0.00",,"0.0","0.0",,"62","40","44",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-25",,,"0.00",,"0.0","0.0",,"53","37","37",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-26",,,"0.00",,"0.0","0.0",,"49","31","31",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-27",,,"0.47",,"0.0","0.0",,"48","31","43",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-28",,,"0.44",,"0.0","0.0",,"47","41","45",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-29",,,"0.13",,"0.0","0.0",,"51","44","47",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-30",,,"0.01",,"0.0","0.0",,"56","36","41",
"USC00280907","BOONTON 1 SE, NJ US","2018-10-31",,,"0.00",,"0.0","0.0",,"54","32","32",
