"","station.name","total"
"409","Nassau Ave & Newell St",2770
"410","Baltic St & 5 Ave",2767
"411","Eastern Pkwy & Franklin Ave",2761
"412","E 68 St & 3 Ave",2759
"413","Bergen St & Flatbush Ave",2742
"414","Riverside Dr & W 91 St",2708
"415","Columbia St & Degraw St",2708
"416","Douglass St & 3 Ave",2695
"417","Henry St & Poplar St",2694
"418","Front St & Gold St",2692
"419","Bergen St & Vanderbilt Ave",2678
"420","Laight St & Hudson St",2677
"421","Lafayette Ave & St James Pl",2675
"422","Smith St & 9 St",2673
"423","31 St & Broadway",2646
"424","3 St & 3 Ave",2638
"425","St Nicholas Ave & Manhattan Ave",2635
"426","Devoe St & Lorimer St",2603
"427","Kane St & Clinton St",2602
"428","East End Ave & E 86 St",2589
"429","W 110 St & Amsterdam Ave",2548
"430","Leonard St & Nassau Ave",2541
"431","E 78 St & 2 Ave",2541
"432","Fulton St & Rockwell Pl",2541
"433","Lenox Ave & W 126 St",2525
"434","Willoughby Ave & Hall St",2522
"435","Eastern Pkwy & Washington Ave",2520
"436","Carlton Ave & Flushing Ave",2514
"437","W 106 St & Amsterdam Ave",2512
"438","Bond St & Bergen St",2509
"439","West End Ave & W 107 St",2505
"440","Warren St & Court St",2483
"441","Avenue D & E 12 St",2479
"442","Carroll St & 6 Ave",2463
"443","Richardson St & N Henry St",2461
"444","Stagg St & Union Ave",2457
"445","E 110 St & Madison Ave",2454
"446","Schermerhorn St & 3 Ave",2454
"447","Smith St & 3 St",2436
"448","E 88 St & Park Ave",2436
"449","Carroll St & Bond St",2421
"450","E 82 St & East End Ave",2406
"451","E 91 St & Park Ave",2388
"452","Franklin St & Dupont St",2378
"453","Underhill Ave & Lincoln Pl",2360
"454","W 113 St & Broadway",2357
"455","Central Park West & W 102 St",2343
"456","E 67 St & Park Ave",2331
"457","31 St & 23 Ave",2329
"458","3 Ave & E 71 St",2304
"459","Front St & Washington St",2302
"460","Degraw St & Smith St",2291
"461","S Portland Ave & Hanson Pl",2289
"462","Pioneer St & Van Brunt St",2285
"463","Franklin Ave & Empire Blvd",2282
"464","E 60 St & York Ave",2280
"465","3 Ave & E 72 St",2275
"466","Washington Park",2272
"467","Columbia St & Kane St",2269
"468","Clinton St & Union St",2263
"469","W 104 St & Amsterdam Ave - 1",2254
"470","Clinton Ave & Flushing Ave",2250
"471","31 St & Astoria Blvd",2243
"472","6 Ave & 9 St",2237
"473","Garfield Pl & 8 Ave",2232
"474","E 68 St & Madison Ave",2218
"475","Carroll St & 5 Ave",2215
"476","E 93 St & 2 Ave",2214
"477","Fulton St & Grand Ave",2207
"478","45 Rd & 11 St",2206
"479","Union St & Nevins St",2206
"480","St James Pl & Pearl St",2193
"481","Clinton St & 4 Place",2189
"482","Classon Ave & St Marks Ave",2183
"483","14 St & 7 Ave",2179
"484","E 10 St & 5 Ave",2174
"485","Bushwick Ave & Powers St",2167
"486","Pacific St & Nevins St",2165
"487","Prospect Park West & 8 St",2160
"488","N 11 St & Wythe Ave",2156
"489","Dean St & Hoyt St",2128
"490","E 76 St & Park Ave",2127
"491","14 St & 5 Ave",2127
"492","Douglass St & 4 Ave",2116
"493","Monroe St & Bedford Ave",2086
"494","S 4 St & Rodney St",2064
"495","Scholes St & Manhattan Ave",2059
"496","Washington Ave & Greene Ave",2057
"497","1 Ave & E 110 St",2054
"498","President St & Henry St",2052
"499","W 116 St & Broadway",2019
"500","Soissons Landing",2015
"501","Graham Ave & Grand St",2011
"502","Carlton Ave & Dean St",2004
"503","Carroll St & Columbia St",1989
"504","Prospect Pl & 6 Ave",1984
"505","Madison Ave & E 99 St",1978
"506","Lenox Ave & W 130 St",1975
"507","Butler St & Court St",1973
"508","Court St & Nelson St",1968
"509","4 Ave & 9 St",1966
"510","10 St & 7 Ave",1963
"511","Driggs Ave & Lorimer St",1950
"512","Lexington Ave & Classon Ave",1943
"513","2 Ave & E 104 St",1926
"514","W 116 St & Amsterdam Ave",1923
"515","Underhill Ave & Pacific St",1899
"516","Clermont Ave & Lafayette Ave",1896
"517","Pleasant Ave & E 116 St",1881
"518","2 Ave & 36 St - Citi Bike HQ at Industry City",1876
"519","E 103 St & Lexington Ave",1864
"520","Columbia Heights & Cranberry St",1863
"521","St. Nicholas Ave & W 126 St",1836
"522","N 15 St & Wythe Ave",1825
"523","St Johns Pl & Washington Ave",1824
"524","E 66 St & Madison Ave",1818
"525","1 Pl & Clinton St",1814
"526","Nassau St & Navy St",1799
"527","Berkeley Pl & 6 Ave",1794
"528","Wyckoff St & 3 Ave",1791
"529","44 Dr & 21 St",1784
"530","DeKalb Ave & Skillman St",1765
"531","Pitt St & Stanton St",1760
"532","Bank St & Washington St",1742
