"","odl_od_timessquare","count"
"200",2.18506884817577,2437
"201",0.566384718005825,2433
"202",4.93701181182338,2415
"203",5.72609402243249,2408
"204",5.25197523262556,2404
"205",10.77794865096,2383
"206",3.1926240617117,2375
"207",6.28363908164413,2334
"208",4.52911331557212,2322
"209",1.42576912764961,2313
"210",1.23110908600573,2311
"211",3.12547247661152,2302
"212",6.16993210466407,2290
"213",2.83830011640825,2281
"214",1.64818251599093,2276
"215",4.96303958688805,2248
"216",2.28269369207727,2233
"217",1.41150039057818,2228
"218",1.141910671576,2224
"219",3.97308516701735,2206
"220",4.70745233697642,2196
"221",7.28869578152093,2182
"222",2.85897095177537,2180
"223",6.73783066970869,2172
"224",3.00536735473587,2165
"225",0.994309792939195,2162
"226",2.20876656654604,2131
"227",7.3405704365392,2120
