"","station.name","total"
"626","7 St & 3 Ave",883
"627","Hancock St & Bedford Ave",882
"628","E 123 St & Lexington Ave",881
"629","Van Brunt St & Wolcott St",879
"630","Greene Ave & Throop Ave",870
"631","Franklin Ave & Myrtle Ave",869
"632","31 St & Astoria Blvd",866
"633","Center Blvd & 51 Ave",850
"634","Bedford Ave & S 9 St",849
"635","31 Ave & Steinway St",826
"636","E 116 St & 2 Ave",821
"637","Lorimer St & Broadway",815
"638","E 98 St & Park Ave",814
"639","W 129 St & Convent Ave",812
"640","Pioneer St & Van Brunt St",811
"641","E 106 St & 1 Ave",810
"642","Jackson Ave & 46 Rd",803
"643","Kingston Ave & Herkimer St",800
"644","Park Ave & Marcus Garvey Blvd",798
"645","Frederick Douglass Blvd & W 129 St",796
"646","Leonard St & Boerum St",792
"647","Adam Clayton Powell Blvd & W 115 St",787
"648","Pleasant Ave & E 120 St",785
"649","28 Ave & 35 St",784
"650","E 97 St & 3 Ave",766
"651","E 128 St & Madison Ave",763
"652","35 Ave & 37 St",760
"653","2 Ave & E 122 St",758
"654","Newtown Ave & 23 St",757
"655","E 114 St & 1 Ave",755
"656","Fulton St & Utica Ave",754
"657","21 St & 31 Dr",752
"658","E 115 St & Madison Ave",748
"659","Vernon Blvd & 10 St",736
"660","3 Ave & 14 St",734
"661","Lexington Ave & E 120 St",734
"662","Marcus Garvey Blvd & Macon St",734
"663","31 St & Thomson Ave",730
"664","35 St & Broadway",723
"665","Ditmars Blvd & 19 St",723
"666","Nostrand Ave & Myrtle Ave",721
"667","34 St & 35 Ave",716
"668","31 Ave & 30 St",714
"669","4 Ave & 2 St",714
"670","24 Ave & 26 St",712
"671","Morningside Dr & Amsterdam Ave",712
"672","Steinway St & 28 Ave",705
"673","28 St & 38 Ave",697
"674","Vernon Blvd & 31 Ave",686
"675","49 Ave & 21 St",683
"676","Frost St & Meeker Ave",680
"677","McKibbin St & Manhattan Ave",680
"678","5 Ave & E 126 St",669
"679","31 Ave & Crescent St",666
"680","Madison Ave & E 120 St",663
"681","5 St & Market St",660
"682","Lincoln Pl & Classon Ave",659
"683","Division Ave & Marcy Ave",655
"684","19 St & 24 Ave",650
"685","Crescent St & 34 Ave",647
"686","Union Ave & Wallabout St",646
"687","3 Ave & E 112 St",642
"688","36 Ave & 31 St",641
"689","Putnam Ave & Nostrand Ave",640
"690","Rogers Ave & Sterling St",639
"691","Vernon Blvd & 30 Rd",632
"692","Coffey St & Conover St",628
"693","3 Ave & E 100 St",628
"694","Broadway & 12 St",614
"695","Throop Ave & Myrtle Ave",611
"696","Pulaski St & Marcus Garvey Blvd",606
"697","Lewis Ave & Decatur St",606
"698","Pacific St & Classon Ave",600
"699","10 Hudson Yards",592
"700","48 Ave & 5 St",586
"701","Astoria Park S & Shore Blvd",586
"702","Crescent St & 30 Ave",585
"703","28 Ave & 44 St",582
"704","47 Ave & 31 St",580
"705","Steinway St & 23 Ave",568
"706","Union St & Bedford Ave",561
"707","Marcy Ave & Lafayette Ave",556
"708","24 Ave & 29 St",551
"709","Park Ave & St Edwards St",544
"710","31 St & Hoyt Ave N",541
"711","12 St & 4 Ave",540
"712","35 St & 34 Ave",539
"713","Lexington Ave & E 127 St",536
"714","9 St & 44 Rd",535
"715","37 Ave & 35 St",513
"716","2 Ave & 9 St",506
"717","Newton Rd & 44 St",505
"718","Crown St & Bedford Ave",501
"719","Columbia St & W 9 St",500
"720","21 St & 43 Ave",492
"721","5 St & 51 Ave",488
"722","Jackson St & Leonard St",483
"723","Carroll St & Washington Ave",482
"724","35 Ave & 10 St",471
"725","37 St & 24 Ave",455
"726","Commerce St & Van Brunt St",452
"727","34 Ave & 21 St",446
"728","31 St & Northern Blvd",439
"729","36 Ave & 10 St",436
"730","Wyckoff St & Bond St",432
"731","28 St & 36 Ave",426
"732","Crescent St & 35 Ave",423
"733","30 Ave & 21 St",417
"734","Richards St & Delavan St",413
"735","Albany Ave & Fulton St",409
"736","Sigourney St & Columbia St",405
"737","31 Ave & 14 St",403
"738","Henry St & W 9 St",403
"739","Crescent St & Ditmars Blvd",402
"740","E 118 St & Park Ave",400
"741","11 St & 43 Ave",399
"742","Clinton St & Centre St",392
"743","39 St & 2 Ave - Citi Bike HQ at Industry City",387
"744","Dwight St & Van Dyke St",382
