"","station.name","total"
"487","10 St & 7 Ave",2662
"488","Grand Ave & Bergen St",2650
"489","Smith St & 3 St",2648
"490","W 90 St & Amsterdam Ave",2644
"491","Center Blvd & 51 Ave",2639
"492","E 103 St & Lexington Ave",2635
"493","Pacific St & Nevins St",2613
"494","E 60 St & York Ave",2611
"495","Graham Ave & Withers St",2609
"496","Bayard St & Leonard St",2608
"497","Leonard St & Maujer St",2588
"498","Washington Ave & Greene Ave",2586
"499","E 93 St & 2 Ave",2573
"500","Carroll St & Columbia St",2559
"501","Eastern Pkwy & Washington Ave",2557
"502","Brooklyn Bridge Park - Pier 2",2557
"503","E 68 St & 3 Ave",2549
"504","44 Dr & 21 St",2547
"505","St Johns Pl & Washington Ave",2532
"506","E 88 St & Park Ave",2530
"507","Douglass St & 4 Ave",2523
"508","Lexington Ave & Classon Ave",2518
"509","Union St & Nevins St",2507
"510","Garfield Pl & 8 Ave",2500
"511","Columbia St & Kane St",2499
"512","Columbia St & Degraw St",2496
"513","Dean St & Franklin Ave",2478
"514","Madison Ave & E 99 St",2472
"515","India St & Manhattan Ave",2463
"516","Vernon Blvd & 47 Rd",2462
"517","Laight St & Hudson St",2437
"518","E 66 St & Madison Ave",2437
"519","Wyckoff St & 3 Ave",2423
"520","E 68 St & Madison Ave",2407
"521","Wyckoff Av & Jefferson St",2407
"522","W 18 St & 9 Ave",2404
"523","Prospect Pl & 6 Ave",2384
"524","2 Ave & E 104 St",2380
"525","Clermont Ave & Lafayette Ave",2376
"526","DeKalb Ave & Franklin Ave",2369
"527","Clinton Ave & Flushing Ave",2359
"528","Lewis Ave & Madison St",2348
"529","Sterling Pl & Bedford Ave",2337
"530","W 104 St & Amsterdam Ave",2336
"531","Franklin Ave & St Marks Ave",2334
"532","Lexington Ave & E 111 St",2333
"533","Monroe St & Classon Ave",2329
"534","East End Ave & E 86 St",2329
"535","Central Park West & W 102 St",2294
"536","3 Ave & E 72 St",2294
"537","1 Pl & Clinton St",2293
"538","28 St & 41 Ave",2285
"539","Dean St & Hoyt St",2269
"540","Underhill Ave & Pacific St",2268
"541","4 Ave & 9 St",2251
"542","Myrtle Ave & St Edwards St",2233
"543","43 St & Broadway",2233
"544","Pierrepont St & Monroe Pl",2226
"545","Concord St & Bridge St",2224
"546","Kosciuszko St & Tompkins Ave",2205
"547","Clinton St & 4 Place",2188
"548","Prospect Pl & Underhill Ave",2185
"549","31 Ave & 34 St",2141
"550","Lenox Ave & W 115 St",2139
"551","Cambridge Pl & Gates Ave",2113
"552","W 113 St & Broadway",2108
"553","Broadway & Whipple St",2104
"554","Division Av & Hooper St",2102
"555","Bushwick Ave & Powers St",2097
"556","3 Ave & E 95 St",2090
"557","Van Brunt St & Wolcott St",2086
"558","21 St & Queens Plaza North",2078
"559","Monroe St & Tompkins Ave",2073
"560","Lefferts Pl & Franklin Ave",2051
"561","President St & Henry St",2051
"562","Fulton St & Utica Ave",2042
"563","Pioneer St & Van Brunt St",2039
"564","E 115 St & Lexington Ave",2027
"565","W 116 St & Broadway",2006
"566","Carlton Ave & Park Ave",1995
"567","W 107 St & Columbus Ave",1966
"568","Berkeley Pl & 6 Ave",1961
"569","Union Ave & Jackson St",1950
"570","Butler St & Court St",1945
"571","Boerum St & Broadway",1944
"572","Amsterdam Ave & W 125 St",1938
"573","Columbia Heights & Cranberry St",1936
"574","E 109 St & 3 Ave",1930
"575","Kosciuszko St & Nostrand Ave",1913
"576","Park Pl & Franklin Ave",1906
"577","E 106 St & Madison Ave",1893
"578","6 Ave & 12 St",1891
"579","Verona Pl & Fulton St",1884
"580","Lewis Ave & Kosciuszko St",1877
"581","E 67 St & Park Ave",1872
"582","Court St & Nelson St",1866
"583","Myrtle Ave & Marcy Ave",1863
"584","6 St & 7 Ave",1862
"585","Clermont Ave & Park Ave",1858
"586","Adam Clayton Powell Blvd & W 123 St",1851
"587","Graham Ave & Herbert St",1850
"588","Mt Morris Park W & W 120 St",1837
"589","Greene Ave & Nostrand Ave",1834
"590","Ditmars Blvd & 19 St",1830
"591","Adam Clayton Powell Blvd & W 126 St",1828
"592","N 15 St & Wythe Ave",1820
"593","Halsey St & Tompkins Ave",1818
"594","Fulton St & Clermont Ave",1817
"595","Cedar St & Myrtle Ave",1806
"596","E 123 St & Lexington Ave",1799
"597","Crescent St & Broadway",1798
"598","7 St & 5 Ave",1797
"599","Center Blvd & 48 Ave",1794
"600","Kingston Ave & Herkimer St",1794
"601","27 St & Hunter St",1790
"602","31 Ave & Steinway St",1775
"603","Pitt St & Stanton St",1762
"604","Willoughby Ave & Walworth St",1751
"605","Greene Av & Myrtle Av",1751
"606","Degraw St & Hoyt St",1750
"607","Steinway St & 28 Ave",1738
"608","2 Ave & E 99 St",1705
"609","Morningside Ave & W 123 St",1701
"610","Putnam Ave & Throop Ave",1690
"611","Hancock St & Bedford Ave",1678
"612","Marcy Ave & Lafayette Ave",1662
"613","Central Ave & Starr Street",1658
"614","E 118 St & 3 Ave",1655
"615","2 Ave & 36 St - Citi Bike HQ at Industry City",1652
"616","W 120 St & Claremont Ave",1637
"617","Astoria Park S & Shore Blvd",1628
"618","E 114 St & 1 Ave",1624
"619","Vernon Blvd & 31 Ave",1623
"620","E 102 St & Park Ave",1618
"621","Frederick Douglass Blvd & W 129 St",1614
"622","Coffey St & Conover St",1607
"623","7 St & 3 Ave",1604
"624","Greene Ave & Throop Ave",1598
"625","Sharon St & Olive St",1597
"626","Bedford Ave & S 9 St",1592
"627","E 118 St & 1 Ave",1591
"628","Vernon Blvd & 10 St",1590
"629","10 St & 5 Ave",1577
"630","E 106 St & Lexington Ave",1575
"631","E 106 St & 1 Ave",1571
"632","Franklin Ave & Myrtle Ave",1559
"633","Eckford St & Engert Ave",1558
"634","Newtown Ave & 23 St",1547
"635","Vernon Blvd & 30 Rd",1523
"636","Willoughby Ave & Tompkins Ave",1521
"637","McKibbin St & Bogart St",1517
"638","Frost St & Meeker Ave",1514
"639","Leonard St & Boerum St",1510
"640","21 St & 31 Dr",1501
"641","19 St & 24 Ave",1496
"642","E 116 St & 2 Ave",1494
"643","Jackson Ave & 46 Rd",1482
"644","E 115 St & Madison Ave",1475
"645","3 Ave & E 71 St",1470
"646","Lorimer St & Broadway",1468
"647","5 St & 6 Ave",1452
"648","Union Ave & Wallabout St",1424
"649","Pleasant Ave & E 120 St",1416
"650","3 Ave & Carroll St",1415
"651","Adam Clayton Powell Blvd & W 118 St",1413
"652","Marcus Garvey Blvd & Macon St",1412
"653","9 St & 44 Rd",1398
"654","White St & Moore St",1393
"655","Willoughby Ave & Wyckoff Ave",1386
"656","Suydam St & Knickerbocker Ave",1382
"657","Central Ave & Flushing Ave",1380
"658","W 116 St & Amsterdam Ave",1378
"659","28 Ave & 35 St",1365
"660","36 Ave & 31 St",1361
"661","Rogers Ave & Sterling St",1354
"662","3 Ave & 14 St",1345
"663","3 St & Hoyt St",1343
"664","McKibbin St & Manhattan Ave",1342
"665","E 55 St & 3 Ave",1340
"666","24 St & 41 Ave",1332
"667","2 Ave & E 122 St",1329
"668","E 55 St & 2 Ave",1328
"669","Lewis Ave & Decatur St",1296
"670","28 Ave & 44 St",1294
"671","Humboldt St & Varet St",1293
"672","E 118 St & Madison Ave",1286
"673","31 St & Astoria Blvd",1284
"674","35 Ave & 37 St",1259
"675","Putnam Ave & Nostrand Ave",1256
"676","Adam Clayton Powell Blvd & W 115 St",1249
